Country Name,Female to male wage ratio in the private sector (using mean),Female to male wage ratio in the private sector (using median),Female to male wage ratio in the public sector (using mean),Female to male wage ratio in the public sector (using median),"Females, as a share of private paid employees","Females, as a share of private paid employees by occupational group: Clerks","Females, as a share of private paid employees by occupational group: Elementary occupation","Females, as a share of private paid employees by occupational group: Managers","Females, as a share of private paid employees by occupational group: Professionals","Females, as a share of private paid employees by occupational group: Technicians","Females, as a share of private paid employees by wage quintile: Quintile 1","Females, as a share of private paid employees by wage quintile: Quintile 2","Females, as a share of private paid employees by wage quintile: Quintile 3","Females, as a share of private paid employees by wage quintile: Quintile 4","Females, as a share of private paid employees by wage quintile: Quintile 5","Females, as a share of public paid employees","Females, as a share of public paid employees by industry: Core Public Administration","Females, as a share of public paid employees by industry: Education","Females, as a share of public paid employees by industry: Health","Females, as a share of public paid employees by industry: Public Administration","Females, as a share of public paid employees by industry: Public Safety","Females, as a share of public paid employees by industry: Social Security","Females, as a share of public paid employees by industry: Teachers","Females, as a share of public paid employees by occupation: Medical workers","Females, as a share of public paid employees by occupational group: Clerks","Females, as a share of public paid employees by occupational group: Elementary occupation","Females, as a share of public paid employees by occupational group: Managers","Females, as a share of public paid employees by occupational group: Professionals","Females, as a share of public paid employees by occupational group: Technicians","Females, as a share of public paid employees by wage quintile: Quintile 1","Females, as a share of public paid employees by wage quintile: Quintile 2","Females, as a share of public paid employees by wage quintile: Quintile 3","Females, as a share of public paid employees by wage quintile: Quintile 4","Females, as a share of public paid employees by wage quintile: Quintile 5","Gender wage premium in the private sector, by industry: Education (compared to male paid employees)","Gender wage premium in the private sector, by industry: Health (compared to male paid employees)","Gender wage premium in the private sector, by occupation: Medical workers (compared to male paid employees)","Gender wage premium in the private sector, by occupation: Teachers (compared to male paid employees)","Gender wage premium in the public sector, by industry: Core Public Administration (compared to male paid employees)","Gender wage premium in the public sector, by industry: Education (compared to male paid employees)","Gender wage premium in the public sector, by industry: Health (compared to male paid employees)","Gender wage premium in the public sector, by industry: Public Administration (compared to male paid employees)","Gender wage premium in the public sector, by industry: Public Safety (compared to male paid employees)","Gender wage premium in the public sector, by industry: Social Security (compared to male paid employees)","Public sector employment, as a share of paid employment by gender: Female","Public sector employment, as a share of paid employment by gender: male","Public sector employment, as a share of total employment by gender: Female","Public sector employment, as a share of total employment by gender: male","Public sector female employment, as a share of paid employment by industry: Education","Public sector female employment, as a share of paid employment by industry: Health","Public sector female employment, as a share of paid employment by occupation: Medical workers","Public sector female employment, as a share of paid employment by occupation: Teachers","Public sector female employment, as a share of paid employment by occupational group: Clerks","Public sector female employment, as a share of paid employment by occupational group: Elementary workers","Public sector female employment, as a share of paid employment by occupational group: Manager","Public sector female employment, as a share of paid employment by occupational group: Professionals","Public sector female employment, as a share of paid employment by occupational group: Technicians","Public sector wage premium for females, by industry: Education (compared to paid wage employees)","Public sector wage premium for females, by industry: Health (compared to paid wage employees)","Public sector wage premium for females, by occupation: Medical workers (compared to paid wage employees)","Public sector wage premium for females, by occupation: Teachers (compared to paid wage employees)","Public sector wage premium for males, by industry: Education (compared to paid wage employees)","Public sector wage premium for males, by industry: Health (compared to paid wage employees)","Public sector wage premium for males, by occupation: Medical workers (compared to paid wage employees)","Public sector wage premium for males, by occupation: Teachers (compared to paid wage employees)","Public sector wage premium, by gender: Female (compared to all private employees)","Public sector wage premium, by gender: Male (compared to all private employees)"
Argentina,0.691736042499542,0.637354791164398,0.862832903862,0.848919272422791,0.432795733213425,,0.079737164080143,0.369937658309937,0.451055139303207,0.480423152446747,0.723029971122742,0.461817353963852,0.365984886884689,0.323763251304626,0.277392417192459,0.535433053970337,1.0233276983102115,0.6731740375226991,0.6794429817725982,0.4166850551015959,0.0163593466083256,0.0856236418088229,0.9527660260598054,-0.9424014488856188,,0.345558434724808,0.57354199886322,0.532881081104279,0.647914052009583,0.616626083850861,0.587818205356598,0.514604985713959,0.479478567838669,0.432088643312454,-0.1460078902418002,-0.2171173568553346,-2.6280990031858096,-2.6280990031858096,-0.1649313747268364,-0.1444043261899197,-0.1469230295747619,-0.1457127006954977,-0.1620382349362077,-0.1833163761562595,0.289758235216141,0.212657183408737,0.227861642837524,0.148780047893524,0.6409058468397646,0.4246461336229927,-1.8767312554021487,0.128897948811451,,0.169698610901833,0.394118160009384,0.566113770008087,0.526034533977509,0.0792013183292184,0.0763461772969185,-2.6280990031858096,-2.6280990031858096,-0.0002657673596146,-0.0125869099890216,-2.6280990031858096,-2.6280990031858096,0.420811742544174,0.0357637442648411
Bolivia,0.730796575546265,0.685714364051819,0.836444318294525,0.888888895511627,0.336282908916473,0.572639644145966,0.429362177848816,0.366366803646088,0.493476957082748,0.346178621053696,0.571400761604309,0.398861885070801,0.280799210071564,0.21617765724659,0.200172051787376,0.483648121356964,0.409061461687088,0.58293741941452,0.655718624591827,0.342213183641434,0.173742234706879,,0.599892556667328,0.632383227348328,0.551221549510956,0.527975380420685,0.319561183452606,0.580292522907257,0.431559592485428,0.607486188411713,0.505188047885895,0.47027850151062,0.472382724285126,0.36190065741539,-0.206969618797302,-0.265325933694839,-0.0996604636311531,-0.105120770633221,-0.129202172160149,-0.146915957331657,-0.139128684997559,-0.122479200363159,-0.110597290098667,,0.347528010606766,0.223671853542328,0.10838583111763,0.0876107662916183,0.793931543827057,0.678187906742096,0.694521725177765,0.836447954177856,0.287664294242859,0.206872627139091,0.346512615680695,0.7336585521698,0.331652402877808,0.253969788551331,0.43295481801033,0.533002436161041,0.242414757609367,0.175383925437927,0.182320892810822,0.551288664340973,0.146379977464676,0.415401458740234,0.147136703133583
Brazil,0.769472420215607,0.77952241897583,0.714929223060608,0.690051794052124,0.443936794996262,0.614388048648834,0.006402034078119,0.430974066257477,0.562604904174805,0.425086140632629,0.564628720283508,0.53966611623764,0.451606512069702,0.336866140365601,0.318863034248352,0.575585663318634,,0.7905494197664682,0.7586668654075255,0.4151158112164932,,,0.799791634082794,0.691603541374207,0.61989039182663,-0.0592133995451433,0.483739644289017,0.730900943279266,0.604670822620392,0.659152626991272,0.650534451007843,0.606492936611176,0.534907639026642,0.423989534378052,-0.252575432487232,-0.2585318273160091,-0.3355740649324437,-0.2994751616968178,-0.3128477938643028,-0.2157500518890738,-0.2172142905641294,-0.3128477938643028,-0.3128477938643028,-0.3128477938643028,0.221804276108742,0.143679395318031,0.164407476782799,0.0917028412222862,0.7334767411349237,0.4676109812139075,0.473636388778687,0.716157138347626,0.224704131484032,0.073452852666378,0.18312069773674,0.565180838108063,0.407633811235428,0.0745266061227667,-0.1617720989492816,0.1350537738716688,0.1389038532437467,-0.438681900501251,-0.1890830632688498,0.0254692147467094,0.0030028429882484,0.163233458995819,0.232674241065979
Chile,0.7600179816293791,0.7889273851772884,0.7849812814800341,0.8229883421507327,0.4326902268294947,0.6433731225079988,0.5004295193513499,0.3769598216636929,0.5020391013298751,0.4967287049925186,0.6093769246330183,0.4342451193557988,0.4098770913091734,0.3253025624401541,0.3419582137961372,0.5699594100284262,0.4995607838034637,0.7456811822480454,0.7277827191255728,0.4208337283122318,0.2365358658134937,0.4994797348976121,0.7155167613710678,0.6689956205231802,0.7518296489711709,0.5200946204280115,0.2963490689342671,0.6523764513806114,0.6430724887643748,0.6840721086413879,0.6027761319342257,0.5247408912091345,0.5785422202362156,0.4501892327780865,-0.1862420005504166,-0.3096000704799984,-0.2338291992097207,-0.1018702000952682,-0.2229334128399678,-0.055599879437338,-0.2309503117531104,-0.2441550623354693,-0.1300768355528525,0.059347300479807,0.1724760841479611,0.1064142947466457,0.1326441845786425,0.0795050886385673,0.3797730307593605,0.4480271659290711,0.4409384233610973,0.4158892614500846,0.1662258579720062,0.0663255717294273,0.1684839479519002,0.3535388820707918,0.3033079652309176,-0.0155424103772752,0.0632752343043332,0.2242529453081516,-0.0033516450867754,-0.138681115664208,-0.0618243894352597,0.2088298069522594,-0.0530713515565572,0.203244439800164,0.1537366399785238
Colombia,0.877241969108582,0.914964973926544,1.01969230175018,1.02491009235382,0.428804099559784,0.5953649774054508,0.0880695809131471,0.462376564741135,0.251382976770401,0.5797037771929094,0.568741917610168,0.42472767829895,0.413980782032013,0.357651084661484,0.378929793834686,0.47372767329216,,0.601417481899261,0.635128855705261,0.343110471963882,-0.3955926969647407,,,,0.6437758768086326,0.0287507019336459,0.5620633627264944,0.267482250928879,0.6012967774967954,0.464501351118088,0.47959166765213,0.456074863672256,0.489192128181458,0.480516344308853,-0.252631008625031,-0.249761611223221,,,,-0.040699128061533,-0.273360997438431,-0.0879794433712959,-1.2691304944455624,-1.2691304944455624,0.0888258740305901,0.0751877874135971,0.0447882786393166,0.0360188111662865,0.463383823633194,0.0845902562141418,,,0.0020392505712066,0.0687355399131775,0.4775413947190472,0.0509464368224144,0.0480817072093487,0.699287235736847,0.413408607244492,,,0.311140060424805,0.313634634017944,,,0.899594128131866,0.559661865234375
Costa Rica,0.751701593399048,0.817418456077576,0.985283970832825,1.0721549987793,0.39116570353508,0.491208583116531,0.411945402622223,0.359986156225204,0.462051063776016,0.339841365814209,0.581141352653503,0.407330960035324,0.35441267490387,0.292896777391434,0.303177535533905,0.498934328556061,0.4463347152011785,0.694892729234974,0.609518450254585,0.4113848472547818,0.2411773465629809,0.518693375116901,0.7250886303141595,0.5883048008259082,0.627415180206299,0.428181827068329,0.375202417373657,0.636434853076935,0.406127721071243,0.522304773330688,0.424691557884216,0.443152546882629,0.528353691101074,0.46229812502861,-0.0909937585306455,-0.2297319572048577,0.2356964111675292,0.3484216966505222,-0.0606374847890514,-0.1553453681936041,-0.1669577539228557,-0.0503368741500445,-0.0049344890673914,-0.183728130249996,0.220507264137268,0.154352322220802,0.17109639942646,0.113519832491875,0.7649966854798169,0.6083294881714707,0.5411385462248219,0.7964813678784477,0.26664325594902,0.0542958527803421,0.372675180435181,0.665247023105621,0.322835594415665,0.5163636398202129,0.5607123135300434,0.3679718791661059,0.4503877646030716,0.5918121411525021,0.4798948669817022,0.5598498747074814,1.2891532879000636,0.977077186107636,0.510650277137756
Dominican Republic,0.7948916225978744,0.69988057046967,1.2308056089912611,1.275681034603636,0.4615398718424766,0.656760349850451,0.5731724860751459,0.5343629858163794,0.605555551095275,0.4802914733720165,0.6859689845583983,0.5271024782527212,0.4165269134273135,0.3238759645232241,0.3410234093854711,0.5363320423320452,0.5283935584436534,0.7464125123602399,0.7484232879249303,0.3976875095677776,0.3187873644059955,0.9486225279139688,0.8134122427751329,0.7659095085231478,0.7321237133668896,0.5691439305055024,0.5358621063624156,0.7507471874799627,0.5742274737142192,0.4546636731968423,0.4815355751656724,0.496123261076093,0.6062528976048949,0.6513975691622917,-0.3655759552262232,-0.2196685282921322,0.3040414591408478,-0.3528890366296791,-0.0683037827188179,-0.0553281425255942,-0.0318550321808075,-0.0242331256880632,-0.1253533486365032,-2.326530642807484,0.2497498291202742,0.1980386824695696,0.1674914770704068,0.0865329508425476,0.6281924768665146,0.594255247588694,0.6795886072181385,0.7211013150638372,0.174579255832274,0.1732573196735294,0.1747800207963123,0.6283546882027338,0.2986528278939317,0.5743035007113804,0.1227627775483064,0.3034186508704906,0.9873401813352274,-0.1354666487994391,-0.1734377062069416,0.2239021621503454,-0.0230766691868069,0.1675727663496005,-0.2280409822904019
Ecuador,0.86760538816452,0.906862854957581,0.893099725246429,0.960159420967102,0.333183646202087,0.526229858398438,0.340895771980286,0.509231328964233,0.550453126430511,0.524904251098633,0.41070356965065,0.354007512331009,0.355034202337265,0.269392460584641,0.269414156675339,0.43278306722641,0.3864656537771225,0.6131171197143956,0.6962740609650802,0.2942108286553928,0.1555598676204681,0.7322626709938049,0.649214267730713,0.615722179412842,0.532826960086823,0.194884911179543,0.498754501342773,0.527628660202026,0.655586123466492,0.430319964885712,0.411852598190308,0.536855220794678,0.461227744817734,0.32175076007843,-0.1967555736449089,-0.1189687718584835,-0.1752066950749764,-0.2307820255528982,-0.0848556347191333,-0.0808575109126592,-0.1303860511572185,-0.1606590112878217,-0.1665930077433586,-0.2291182950139045,0.211165770888329,0.149156972765923,0.0937309414148331,0.0867570713162422,0.6845766846619785,0.6007737941570142,0.711589932441711,0.703135251998901,0.185370251536369,0.0272837355732918,0.06955935806036,0.593067169189453,0.489479422569275,0.4716268413143041,0.5037787183363207,0.3329426392568333,0.4158385066541683,0.2731248491752254,0.5508471334731979,0.263446969273005,0.2001626153040447,0.536530792713165,0.46490404009819
Guatemala,0.8665061010335515,0.8365034438003356,0.8908972128377695,0.9501948952674866,0.2783181040994522,0.4419013356895949,0.2420151762785467,0.296943537527468,0.4812395934893834,0.4227157633115617,0.4114228981297192,0.2310669668382257,0.2177397437333077,0.2586310010978847,0.2490114914329066,0.4844836280113309,,0.6500565805635237,0.6298047245203797,0.2936748741836563,,,,,0.5262618436197917,0.3032944800286774,0.3013545835748413,0.6240175052629251,0.4842281944576312,0.486182967337168,0.5246540551505436,0.5564398019900167,0.4498486185950979,0.3945955684090538,-0.1694565999594242,-0.2416721912888011,,,-0.0829445826931039,-0.0686775537265411,-0.1626720927082559,-0.132740801025357,-0.0829445826931039,-0.0829445826931039,0.1604197317870652,0.0723629169075226,0.0828609922295067,0.046773568893654,0.6412188931480856,0.4614037014209071,,,0.1675369541456062,0.0226101213129145,0.219329160948595,0.6410130934138607,0.2913672263787052,0.6343325128207553,0.187096444698243,,,0.5189515650346763,0.1609523750238723,,,0.6067112322018389,0.3799829754100106
Honduras,1.11281728744507,1.1399998664856,0.944880187511444,1.0,0.319122612476349,0.495612561702728,0.2405349771399301,0.440290868282318,0.511018037796021,0.375677675008774,0.235098570585251,0.311191618442535,0.361516028642654,0.339995682239532,0.352136433124542,0.530286252498627,0.486067563295364,0.600342452526093,0.759874224662781,0.428982555866241,0.22778694331646,0.4441073657228411,0.603864312171936,0.704321622848511,0.670869112014771,0.603117108345032,0.542513608932495,0.581166386604309,0.57729709148407,0.608217597007751,0.464216411113739,0.449192404747009,0.604256212711334,0.505515217781067,-0.0421419031918049,0.0974256545305252,-0.8324315200249259,0.0192615948617458,-0.202488213777542,-0.0759847313165665,-0.0344952940940857,-0.253957450389862,-0.0721379891037941,-1.133915628921585,0.200361594557762,0.094222366809845,0.0915957763791084,0.0518576242029667,0.647840023040771,0.666201949119568,0.726117253303528,0.682177305221558,0.256530702114105,0.0791598185896873,0.336594223976135,0.519541501998901,0.476324766874313,0.22728157043457,0.164079129695892,-0.2941008292138463,0.297382324934006,0.222487166523933,0.333967089653015,-0.8324315200249259,-0.0496203824877739,0.221438318490982,0.384677946567535
Nicaragua,0.944839980653537,0.9920071536494834,0.9234473275881924,1.0377667321953723,0.374957105164885,0.5368471030266062,0.3081259285250022,0.3871662568661485,0.498495682272857,0.4381990977512906,0.3315844199349803,0.3603809514353351,0.4250457350925742,0.3888584487540747,0.3039045465248895,0.5431553061290454,,0.6406566245215295,0.827999472618103,0.3580316177436282,,,,,0.5936622991356799,0.3340661737226673,0.5704477855595229,0.5646469631502709,0.7226341802586798,0.5896658673081312,0.4979235094080678,0.6161098890407111,0.4854629260878407,0.53276873211707,-0.0180119095104132,-0.1620537298066295,,,,-0.2105282587664447,-0.1176024121897612,-0.0849720133202431,,,0.2294305329040811,0.1302372368593367,0.0781626406536295,0.0603138166730121,0.7847896558897833,0.5900048358099799,,,0.2016432876548464,0.0417838355786699,0.5573047809703411,0.7058710545621913,0.5098627517300258,0.4527289995125301,0.6020390433924518,,,0.5713816796030216,0.4577896978174038,,,0.2475736021034151,0.2871025630863766
Panama,0.948347687721252,0.916923224925995,0.920267641544342,1.0,0.385560840368271,0.678732752799988,0.318787455558777,0.448388814926147,0.512140095233917,0.506641507148743,0.4325952231884,0.425091415643692,0.361388087272644,0.336135596036911,0.370350867509842,0.523066639900208,,0.6868475941387384,0.6862803085430249,0.4398007686879177,,,,0.675795137882233,0.796640813350677,0.434416741132736,0.443194419145584,0.684526562690735,0.569873154163361,0.573432981967926,0.489334285259247,0.462463468313217,0.577669978141785,0.495176196098328,-0.1716398551959415,-0.1099398218699434,,,,-0.0596348980089297,-0.2355375938318857,-0.185267312703905,,,0.306245595216751,0.201640337705612,0.203858226537704,0.126085579395294,0.7334628072944849,0.7626132957033214,0.810290217399597,0.5454713106155396,0.392105311155319,0.100304834544659,0.262979656457901,0.66481351852417,0.34399425983429,0.5096810858797383,0.1064492508366328,,,0.3342545749367893,0.1950744414651666,,,0.37397888302803,0.296536654233933
Peru,0.756207823753357,0.777691960334778,0.836792349815369,0.885635137557983,0.393300920724869,0.529112160205841,0.393700242042542,0.353547334671021,0.538286149501801,0.377198994159698,0.538943529129028,0.476167559623718,0.390934616327286,0.312745958566666,0.238775238394737,0.478771269321442,0.3810305231480146,0.5736095169518147,0.6754257705772093,0.3410462126098359,0.2263966629069482,,0.4331843727759672,0.0744116678833961,0.5064617395401,0.355114758014679,0.350246399641037,0.606495380401611,0.530490934848785,0.562485218048096,0.48511615395546,0.471827983856201,0.465807944536209,0.369653552770615,-0.1439836736649073,-0.2114166557407379,,-0.0976235602102519,-0.2634479186370626,-0.1196539022917031,-0.0934756165177148,-0.2448197178247575,-0.045849566417556,0.0087088260810759,0.223976254463196,0.16922427713871,0.0882323011755943,0.0846999064087868,0.5930149172889898,0.6544949501322019,0.2910416895987566,0.7449797486989338,0.299549996852875,0.0734477341175079,0.606311082839966,0.598190486431122,0.226022124290466,0.0486218597537106,0.3658549644692215,,0.3619640545355622,0.004292230449014,0.2264344712038379,-0.5079678427330485,0.2782766498800058,0.251297771930695,0.12574028968811
Paraguay,1.15782368183136,0.8737906715890347,1.0760703086853,1.08785974979401,0.369027525186539,0.494979470968246,0.513583362102509,0.33769229054451,0.629254817962646,0.425765722990036,0.312310993671417,0.310041934251785,0.387508511543274,0.409809619188309,0.2561832032838107,0.505446493625641,0.4406280413662138,0.6508962288498883,0.9319420051243554,0.5206029489636421,0.1237503590160287,0.6460878973205881,0.6701909643080499,0.6562964932786102,0.565292477607727,0.428055644035339,0.425226897001266,0.659803926944733,0.53502893447876,0.460456043481827,0.458261698484421,0.556578695774078,0.529609084129334,0.522674381732941,-0.227781700358415,-0.305640873395735,0.5421438924968243,0.3112504365514184,0.0047951150397587,-0.1010123871063903,-0.293157393733658,-0.0502011391023806,-0.4586328278834877,-0.0307751023210585,0.231663286685944,0.147151276469231,0.126997202634811,0.0829900279641151,0.6602090299129504,0.8421223147919363,0.9397980190612144,0.7651356690024071,0.300699025392532,0.0354446843266487,0.425163894891739,0.6702481508255,0.384647279977798,0.4327932435941619,0.2348603415852643,1.4186653047800064,-0.341864337801752,0.0544548106586768,0.5043077704289658,,1.1511928467704138,0.240504696965218,0.222145557403564
El Salvador,0.92885959148407,0.970720112323761,1.06070113182068,1.09053063392639,0.360509872436523,0.48908057808876,0.329711407423019,0.3533915579319,0.45793804526329,0.358475625514984,0.367138296365738,0.35599684715271,0.4205242395401,0.373852133750916,0.284833818674088,0.417154639959335,0.3113700842049884,0.6727099674164503,0.6821484435050884,0.2778946854001485,0.2485462033294414,0.7980735064812094,0.668530821800232,0.574308216571808,0.595736980438232,0.227950021624565,0.436772912740707,0.620545506477356,0.510812520980835,0.310279339551926,0.384806036949158,0.488212913274765,0.468968480825424,0.433513075113297,-0.1419594016776102,-0.2218036875825991,-0.014135125093162,-0.0610137347447476,-0.0208174325110732,-0.0435493542827705,-0.1483988198866725,-0.0741467368008766,0.0527636754495048,-0.5200290550979219,0.136325940489769,0.110579662024975,0.071288026869297,0.0719447731971741,0.6409382282518876,0.6613122124404196,0.616517305374146,0.743744373321533,0.177385419607162,0.0249380841851234,0.456750124692917,0.536507546901703,0.411842674016953,0.5569694486850083,0.5478508230730386,0.2504163556624341,0.6720317282154511,0.5371391730459436,0.4386915115543246,0.0653114972372286,0.2042835135682139,0.541489601135254,0.631102561950684
Uruguay,0.700518012046814,0.706894814968109,0.882613956928253,0.882283329963684,0.455887585878372,0.616543292999268,0.533994615077972,0.326299458742142,0.579492092132568,0.417490720748901,0.67528760433197,0.545103251934052,0.440908312797546,0.336948812007904,0.271424919366837,0.520949602127075,0.548681943566649,0.7586586129172401,0.7455593497681439,0.4219637688501443,0.2962036875786502,0.595502439495565,0.765072047710419,0.786352455615997,0.65065598487854,0.564101040363312,0.520017087459564,0.711682617664337,0.468377292156219,0.613996863365173,0.575725734233856,0.481180638074875,0.480637580156326,0.447115689516068,-0.2017746668841162,-0.234101035205045,-0.3499886773210292,-0.1429135391474183,-0.1250434827191746,-0.1222736292651722,-0.0980904828476947,-0.1156717806746421,-0.1204606763735824,-0.0871765564310926,0.231572523713112,0.188435196876526,0.174473807215691,0.130340129137039,0.6900572118006257,0.264436741184471,0.345539450645447,0.730548501014709,0.322457700967789,0.0718240812420845,0.464613020420074,0.588795006275177,0.309455573558807,0.3998913116003848,0.0615091479218854,-0.089933645080265,0.437424078307508,0.3068398974023552,-0.0946731989068894,-0.371210687059385,0.3976823042551842,0.40194383263588,0.118967369198799
Venezuela,0.3900649428367586,0.6384651064872742,0.874061280488969,1.29288862943649,0.4118527203798283,,,,,,0.8088957399129839,0.3345908612012844,0.3478379309177395,0.4707708269357695,0.1647877424955375,0.668134540319441,,,,,,,,,,,,,,0.8795871913433047,0.2517018675804152,0.7558261632919283,0.6795136034488642,0.6227205425500877,,,,,,,,,,,0.3449131041765225,0.1598468601703628,0.1306046277284611,0.0657008156180385,,,,,,,,,,,,,,,,,,1.0929084211587965,0.634088498353961
